student_id,gender,ethnicity_group,parent_education,lunch_type,test_preparation,study_hours_week,attendance_rate,tutoring,extracurricular,math_score,reading_score,writing_score,final_grade_pct,passed
1501,Female,Group B,Associate's,Standard,Not Completed,5.6,0.853,No,No,54.1,59.2,58.7,57.3,0
1502,Female,Group D,High School,Free/Reduced,Completed,13.5,0.927,No,No,87.9,85.4,87.8,87.0,1
1503,Female,Group E,High School,Standard,Not Completed,4.2,0.941,No,Yes,75.1,71.7,73.0,73.3,1
1504,Female,Group A,Some College,Standard,Completed,13.0,0.854,No,No,73.2,72.7,77.3,74.4,1
1505,Female,Group E,Some College,Standard,Not Completed,7.1,0.913,Yes,Yes,77.7,79.8,90.2,82.6,1
1506,Female,Group C,High School,Free/Reduced,Not Completed,8.0,0.999,Yes,No,69.4,79.9,77.1,75.5,1
1507,Male,Group E,Associate's,Standard,Not Completed,3.1,1.0,Yes,No,99.2,98.3,97.5,98.3,1
1508,Male,Group C,Some College,Standard,Not Completed,5.0,0.968,Yes,No,81.9,71.1,76.7,76.6,1
1509,Male,Group D,Some College,Standard,Not Completed,6.6,1.0,No,No,71.4,86.5,74.0,77.3,1
1510,Male,Group A,Some College,Free/Reduced,Not Completed,12.1,0.85,No,No,72.1,76.4,74.0,74.2,1
1511,Male,Group B,High School,Free/Reduced,Not Completed,5.9,0.956,Yes,No,77.4,80.5,80.2,79.4,1
1512,Male,Group A,Master's,Free/Reduced,Not Completed,3.9,1.0,No,Yes,66.8,75.0,73.3,71.7,1
1513,Male,Group E,Bachelor's,Standard,Not Completed,7.6,0.828,No,No,65.2,59.4,66.3,63.6,1
1514,Female,Group D,Bachelor's,Standard,Completed,18.3,0.861,No,No,86.4,90.3,100.0,92.2,1
1515,Female,Group E,High School,Standard,Not Completed,8.1,1.0,No,No,71.8,64.8,70.1,68.9,1
1516,Female,Group E,Bachelor's,Free/Reduced,Not Completed,5.8,0.822,No,Yes,59.2,69.6,63.6,64.1,1
1517,Male,Group A,Bachelor's,Standard,Not Completed,7.7,0.793,No,Yes,66.0,61.4,55.2,60.9,1
1518,Male,Group C,Bachelor's,Standard,Completed,3.8,1.0,No,Yes,71.8,68.9,64.6,68.4,1
1519,Female,Group A,High School,Free/Reduced,Not Completed,14.5,0.996,Yes,No,77.8,72.9,84.3,78.3,1
1520,Male,Group B,Associate's,Standard,Not Completed,14.4,0.935,Yes,No,90.5,100.0,94.7,95.1,1
1521,Female,Group B,Bachelor's,Standard,Not Completed,3.7,0.896,Yes,Yes,79.0,83.1,76.2,79.4,1
1522,Male,Group C,Associate's,Standard,Not Completed,14.2,0.865,No,Yes,75.2,77.1,80.8,77.7,1
1523,Female,Group B,Associate's,Standard,Completed,7.7,0.923,Yes,No,98.6,100.0,96.7,98.4,1
1524,Female,Group A,Some College,Free/Reduced,Completed,9.8,1.0,Yes,Yes,75.8,87.9,75.8,79.8,1
1525,Female,Group B,Associate's,Standard,Not Completed,6.6,0.919,No,No,58.1,62.2,55.8,58.7,0
1526,Female,Group A,High School,Standard,Not Completed,6.9,1.0,Yes,No,58.8,58.3,61.4,59.5,0
1527,Female,Group E,Associate's,Standard,Completed,4.5,0.828,No,Yes,56.9,55.6,52.6,55.0,0
1528,Female,Group D,High School,Standard,Not Completed,3.7,0.898,Yes,Yes,67.7,78.2,69.2,71.7,1
1529,Male,Group E,Some College,Standard,Completed,3.6,0.87,No,No,61.4,57.5,60.1,59.7,0
1530,Male,Group C,Some College,Standard,Completed,12.3,0.813,No,No,74.9,90.7,80.2,81.9,1
1531,Female,Group B,Associate's,Standard,Not Completed,7.4,0.888,No,Yes,82.3,84.2,84.2,83.6,1
1532,Male,Group D,High School,Standard,Completed,3.8,0.933,No,Yes,60.1,56.3,55.9,57.4,0
1533,Male,Group B,Associate's,Standard,Not Completed,7.1,0.942,No,Yes,76.9,71.4,67.1,71.8,1
1534,Female,Group B,Bachelor's,Standard,Completed,2.1,1.0,Yes,Yes,96.4,83.2,91.7,90.4,1
1535,Female,Group B,High School,Free/Reduced,Not Completed,3.8,0.937,Yes,Yes,55.6,59.0,49.7,54.8,0
1536,Female,Group A,High School,Free/Reduced,Not Completed,12.9,0.992,Yes,No,94.1,91.1,89.5,91.6,1
1537,Female,Group B,High School,Free/Reduced,Not Completed,4.8,0.905,No,No,56.4,51.1,53.6,53.7,0
1538,Male,Group B,Bachelor's,Standard,Completed,12.0,1.0,Yes,No,91.8,93.2,92.8,92.6,1
1539,Female,Group D,Associate's,Standard,Not Completed,6.3,1.0,No,Yes,90.5,86.2,98.3,91.7,1
1540,Male,Group A,Some College,Standard,Not Completed,9.9,0.942,Yes,No,82.3,87.5,96.8,88.9,1
1541,Male,Group B,High School,Standard,Not Completed,3.2,0.821,No,Yes,63.2,63.5,52.6,59.8,0
1542,Female,Group D,Associate's,Standard,Not Completed,9.0,0.856,No,No,75.1,80.0,83.8,79.6,1
1543,Male,Group A,Bachelor's,Standard,Not Completed,1.3,0.923,Yes,No,58.5,61.4,64.1,61.3,1
1544,Female,Group B,Bachelor's,Free/Reduced,Not Completed,5.1,0.937,Yes,No,86.1,83.3,87.1,85.5,1
1545,Male,Group E,Associate's,Standard,Not Completed,13.3,0.956,No,No,81.1,76.6,80.4,79.4,1
1546,Female,Group B,High School,Standard,Not Completed,6.8,0.937,Yes,No,70.4,70.3,72.7,71.1,1
1547,Male,Group A,High School,Free/Reduced,Not Completed,3.6,0.901,No,No,54.3,56.4,54.0,54.9,0
1548,Male,Group C,High School,Standard,Not Completed,12.7,0.849,Yes,No,72.3,74.4,63.0,69.9,1
1549,Female,Group B,Some College,Free/Reduced,Not Completed,19.6,0.932,No,Yes,91.5,87.6,91.6,90.2,1
1550,Male,Group C,High School,Free/Reduced,Completed,5.7,1.0,No,Yes,77.0,65.7,72.6,71.8,1
1551,Male,Group D,Some College,Free/Reduced,Not Completed,2.2,0.982,No,No,53.5,64.8,55.7,58.0,0
1552,Male,Group A,Some College,Standard,Completed,6.9,0.943,No,Yes,75.9,78.8,78.1,77.6,1
1553,Male,Group C,Master's,Free/Reduced,Completed,10.2,0.982,Yes,Yes,87.6,86.0,93.5,89.0,1
1554,Male,Group C,Associate's,Standard,Not Completed,5.9,0.87,No,No,63.2,65.0,70.3,66.2,1
1555,Female,Group A,Bachelor's,Standard,Completed,1.4,0.859,No,Yes,68.1,72.8,62.3,67.7,1
1556,Female,Group C,Bachelor's,Standard,Completed,9.6,0.84,No,Yes,72.7,81.4,84.2,79.4,1
1557,Male,Group B,High School,Standard,Not Completed,4.2,0.89,No,No,71.6,62.3,60.1,64.7,1
1558,Female,Group C,Bachelor's,Standard,Not Completed,5.0,0.866,Yes,Yes,68.2,69.6,61.2,66.3,1
1559,Male,Group A,Some College,Standard,Completed,2.3,0.997,No,Yes,80.9,89.1,79.8,83.3,1
1560,Male,Group C,Associate's,Free/Reduced,Not Completed,1.0,0.862,No,Yes,59.5,55.2,48.1,54.3,0
1561,Female,Group B,Some College,Free/Reduced,Completed,3.1,0.836,No,Yes,43.7,52.6,46.5,47.6,0
1562,Female,Group D,Master's,Free/Reduced,Not Completed,4.8,1.0,No,No,59.9,59.7,57.6,59.1,0
1563,Male,Group A,Some College,Standard,Completed,4.7,0.864,Yes,No,79.4,82.1,75.2,78.9,1
1564,Female,Group C,Some College,Free/Reduced,Not Completed,14.9,0.912,No,Yes,72.5,77.4,70.0,73.3,1
1565,Male,Group C,Master's,Standard,Not Completed,3.4,0.936,No,Yes,73.4,78.7,66.6,72.9,1
1566,Female,Group D,High School,Free/Reduced,Not Completed,11.5,0.809,Yes,Yes,81.1,76.5,70.9,76.2,1
1567,Male,Group C,Associate's,Free/Reduced,Not Completed,7.3,0.999,No,Yes,71.0,65.4,63.0,66.5,1
1568,Female,Group D,Bachelor's,Standard,Completed,16.1,0.951,Yes,No,92.3,87.4,88.4,89.4,1
1569,Male,Group D,Bachelor's,Free/Reduced,Not Completed,6.4,1.0,No,No,74.1,79.5,75.8,76.5,1
1570,Female,Group E,Master's,Standard,Completed,1.5,0.846,Yes,Yes,71.7,74.9,79.0,75.2,1
1571,Male,Group B,Master's,Standard,Not Completed,6.0,0.908,No,Yes,61.8,71.8,70.0,67.9,1
1572,Female,Group C,High School,Standard,Not Completed,1.1,0.903,No,Yes,60.8,73.4,66.1,66.8,1
1573,Male,Group D,Bachelor's,Standard,Not Completed,3.0,0.921,No,Yes,50.1,54.7,43.1,49.3,0
1574,Male,Group E,Associate's,Free/Reduced,Not Completed,6.1,0.784,Yes,No,71.1,71.9,65.8,69.6,1
1575,Female,Group E,Associate's,Standard,Not Completed,6.2,0.909,Yes,Yes,78.9,79.9,82.4,80.4,1
1576,Female,Group C,High School,Standard,Not Completed,11.3,0.786,No,Yes,64.7,61.9,56.7,61.1,1
1577,Female,Group B,Associate's,Standard,Completed,8.6,0.929,Yes,Yes,67.8,62.3,56.3,62.1,1
1578,Male,Group C,Master's,Free/Reduced,Completed,15.3,0.73,No,No,84.3,97.0,85.8,89.0,1
1579,Male,Group D,Master's,Free/Reduced,Not Completed,11.2,0.752,Yes,No,69.1,79.3,66.5,71.6,1
1580,Male,Group C,Some College,Free/Reduced,Not Completed,10.5,0.965,Yes,Yes,72.5,76.4,64.4,71.1,1
1581,Female,Group C,High School,Free/Reduced,Not Completed,18.7,0.856,No,No,71.0,73.1,70.4,71.5,1
1582,Female,Group D,Some College,Standard,Not Completed,10.9,0.821,Yes,Yes,81.6,73.1,76.4,77.0,1
1583,Male,Group B,Bachelor's,Standard,Not Completed,13.8,1.0,No,No,99.4,84.7,81.5,88.5,1
1584,Female,Group E,Bachelor's,Standard,Not Completed,2.1,0.926,No,No,73.2,77.3,68.1,72.9,1
1585,Male,Group C,Some College,Standard,Completed,5.5,0.97,No,Yes,86.4,96.1,80.9,87.8,1
1586,Female,Group B,High School,Free/Reduced,Completed,8.4,0.887,Yes,Yes,76.5,83.0,76.2,78.6,1
1587,Male,Group C,Some College,Standard,Not Completed,7.0,1.0,Yes,Yes,81.5,89.0,81.3,83.9,1
1588,Female,Group D,Some College,Free/Reduced,Not Completed,4.1,0.852,Yes,No,53.7,55.9,54.5,54.7,0
1589,Female,Group A,Master's,Standard,Not Completed,10.5,1.0,Yes,Yes,81.2,88.4,78.2,82.6,1
1590,Male,Group B,Associate's,Standard,Completed,12.0,0.895,Yes,No,92.4,83.9,85.0,87.1,1
1591,Male,Group E,Some College,Standard,Not Completed,6.3,0.768,No,No,62.0,70.8,64.4,65.7,1
1592,Male,Group B,Associate's,Free/Reduced,Not Completed,5.7,0.939,No,Yes,76.0,70.6,64.4,70.3,1
1593,Female,Group C,High School,Free/Reduced,Completed,4.8,0.925,No,Yes,60.7,59.6,55.8,58.7,0
1594,Female,Group C,Master's,Free/Reduced,Not Completed,10.8,0.816,No,No,71.8,78.7,81.9,77.5,1
1595,Male,Group C,Some College,Standard,Not Completed,5.6,0.826,No,Yes,47.9,51.8,51.5,50.4,0
1596,Male,Group C,Some College,Free/Reduced,Not Completed,6.8,0.898,No,Yes,55.3,69.8,67.5,64.2,1
1597,Female,Group B,Some College,Standard,Not Completed,13.0,0.928,Yes,Yes,77.0,81.6,75.0,77.9,1
1598,Female,Group C,Associate's,Standard,Not Completed,7.9,0.702,Yes,Yes,77.1,76.1,79.0,77.4,1
1599,Female,Group C,Associate's,Free/Reduced,Not Completed,6.8,0.984,No,Yes,57.0,60.2,57.8,58.3,0
1600,Male,Group D,Bachelor's,Standard,Not Completed,4.6,0.86,Yes,No,95.6,80.3,78.6,84.8,1
1601,Female,Group A,Some College,Free/Reduced,Not Completed,6.6,0.793,No,No,56.2,54.2,42.6,51.0,0
1602,Female,Group C,Some College,Standard,Completed,4.2,0.975,Yes,Yes,79.1,73.0,84.9,79.0,1
1603,Female,Group B,High School,Standard,Not Completed,7.6,0.898,No,Yes,58.1,65.1,59.2,60.8,1
1604,Female,Group B,Associate's,Free/Reduced,Not Completed,5.0,0.997,No,No,60.9,65.5,64.4,63.6,1
1605,Female,Group B,High School,Standard,Completed,5.4,0.935,Yes,No,72.6,69.0,81.6,74.4,1
1606,Female,Group B,Associate's,Free/Reduced,Completed,6.6,0.9,No,No,61.2,63.1,64.9,63.1,1
1607,Female,Group D,Bachelor's,Standard,Completed,16.3,0.888,No,Yes,80.3,89.2,80.3,83.3,1
1608,Male,Group B,Bachelor's,Standard,Not Completed,8.3,0.939,No,Yes,71.0,74.9,71.9,72.6,1
1609,Female,Group E,Some College,Standard,Not Completed,3.1,0.867,No,Yes,46.5,63.7,44.6,51.6,0
1610,Male,Group E,Some College,Standard,Completed,5.6,0.832,Yes,Yes,70.9,74.6,67.4,71.0,1
1611,Male,Group C,High School,Standard,Completed,4.7,0.949,No,Yes,58.8,59.1,65.8,61.2,1
1612,Male,Group A,Associate's,Standard,Not Completed,4.5,0.888,Yes,Yes,63.6,64.2,63.1,63.6,1
1613,Male,Group C,Bachelor's,Free/Reduced,Completed,4.6,0.903,No,No,82.1,85.1,78.4,81.9,1
1614,Female,Group D,High School,Standard,Not Completed,5.7,0.987,No,No,66.7,55.6,63.4,61.9,1
1615,Female,Group B,Some College,Standard,Completed,4.2,0.891,No,No,63.6,55.5,59.1,59.4,0
1616,Male,Group A,Bachelor's,Standard,Completed,4.2,0.901,Yes,Yes,84.3,81.3,82.0,82.5,1
1617,Male,Group C,Bachelor's,Standard,Completed,4.7,0.852,No,Yes,65.5,71.1,69.0,68.5,1
1618,Male,Group D,High School,Free/Reduced,Completed,4.5,0.934,No,Yes,80.1,85.7,80.2,82.0,1
1619,Male,Group D,Associate's,Free/Reduced,Completed,3.8,0.928,No,No,69.6,66.7,66.7,67.7,1
1620,Male,Group B,High School,Standard,Not Completed,9.4,0.972,No,Yes,83.7,82.6,82.0,82.8,1
1621,Female,Group D,High School,Free/Reduced,Not Completed,5.2,0.854,Yes,Yes,74.7,62.1,69.6,68.8,1
1622,Female,Group B,Master's,Standard,Not Completed,5.9,0.863,No,No,81.8,75.2,83.3,80.1,1
1623,Male,Group B,Bachelor's,Standard,Not Completed,5.6,0.963,No,Yes,76.7,80.4,70.4,75.8,1
1624,Male,Group E,Bachelor's,Free/Reduced,Completed,4.4,0.92,No,Yes,78.1,67.3,75.6,73.7,1
1625,Female,Group B,High School,Standard,Not Completed,3.7,0.828,No,Yes,75.6,67.7,73.8,72.4,1
1626,Male,Group B,Bachelor's,Free/Reduced,Not Completed,9.9,1.0,No,Yes,65.6,79.7,68.6,71.3,1
1627,Female,Group A,Some College,Free/Reduced,Not Completed,3.9,0.764,No,No,42.1,44.1,49.1,45.1,0
1628,Male,Group E,Some College,Standard,Completed,4.0,0.963,No,No,70.0,69.6,64.7,68.1,1
1629,Female,Group D,Associate's,Free/Reduced,Not Completed,11.6,0.799,No,Yes,42.3,49.7,42.5,44.8,0
1630,Female,Group C,High School,Free/Reduced,Not Completed,4.7,1.0,No,Yes,65.2,67.4,69.3,67.3,1
1631,Male,Group D,Bachelor's,Standard,Not Completed,6.6,0.776,Yes,No,46.9,41.9,52.1,47.0,0
1632,Female,Group B,Associate's,Standard,Completed,5.4,0.992,Yes,No,82.7,86.7,83.8,84.4,1
1633,Male,Group C,High School,Standard,Not Completed,6.5,0.893,No,Yes,60.0,57.2,59.9,59.0,0
1634,Male,Group B,High School,Free/Reduced,Completed,14.7,0.871,No,Yes,91.3,93.9,90.1,91.8,1
1635,Male,Group A,High School,Free/Reduced,Not Completed,4.2,0.915,Yes,Yes,51.8,47.1,59.0,52.6,0
1636,Female,Group C,High School,Standard,Not Completed,9.4,0.951,Yes,No,66.7,69.0,61.1,65.6,1
1637,Female,Group E,Associate's,Standard,Completed,9.9,0.828,No,No,72.0,75.2,77.3,74.8,1
1638,Female,Group A,Bachelor's,Standard,Not Completed,9.5,0.835,Yes,No,68.1,77.8,73.9,73.3,1
1639,Male,Group B,High School,Standard,Not Completed,14.3,0.952,Yes,Yes,82.4,75.7,72.0,76.7,1
1640,Male,Group B,High School,Standard,Not Completed,1.5,0.763,No,No,44.7,56.3,46.9,49.3,0
1641,Male,Group B,Associate's,Standard,Not Completed,2.6,0.853,No,Yes,45.1,43.3,42.5,43.6,0
1642,Male,Group E,Bachelor's,Standard,Not Completed,3.7,1.0,Yes,Yes,82.7,82.5,77.7,81.0,1
1643,Male,Group C,Some College,Standard,Not Completed,4.9,0.823,No,No,37.3,47.3,39.9,41.5,0
1644,Male,Group C,Some College,Standard,Not Completed,7.7,0.992,Yes,Yes,75.7,82.7,69.6,76.0,1
1645,Female,Group D,Associate's,Standard,Not Completed,3.8,0.853,Yes,Yes,63.6,59.5,63.9,62.3,1
1646,Male,Group B,Some College,Free/Reduced,Completed,3.8,0.941,Yes,Yes,79.4,79.0,75.2,77.9,1
1647,Female,Group C,High School,Standard,Completed,7.0,0.952,No,Yes,99.3,84.7,79.5,87.8,1
1648,Male,Group C,Bachelor's,Standard,Not Completed,8.8,0.99,No,No,76.8,82.2,70.8,76.6,1
1649,Male,Group C,Associate's,Standard,Not Completed,6.5,0.884,No,No,81.7,76.9,88.5,82.4,1
1650,Male,Group E,Associate's,Standard,Not Completed,9.0,1.0,Yes,Yes,70.5,83.4,69.3,74.4,1
1651,Female,Group D,Bachelor's,Standard,Not Completed,2.2,0.853,Yes,Yes,56.0,63.6,61.5,60.4,1
1652,Female,Group C,Associate's,Standard,Not Completed,4.2,0.919,No,No,75.1,94.4,75.8,81.8,1
1653,Female,Group D,High School,Standard,Not Completed,3.6,0.92,No,Yes,60.3,68.6,62.3,63.7,1
1654,Female,Group B,Some College,Free/Reduced,Not Completed,4.7,0.81,Yes,Yes,61.8,57.7,61.8,60.4,1
1655,Female,Group A,High School,Free/Reduced,Not Completed,6.3,0.877,Yes,No,73.5,63.0,70.1,68.9,1
1656,Male,Group B,High School,Free/Reduced,Not Completed,1.8,0.913,No,Yes,58.0,56.9,51.9,55.6,0
1657,Male,Group B,Associate's,Free/Reduced,Completed,4.7,0.865,No,No,64.8,67.4,58.2,63.5,1
1658,Female,Group C,Bachelor's,Free/Reduced,Not Completed,4.2,1.0,Yes,Yes,61.7,55.8,67.0,61.5,1
1659,Female,Group C,Master's,Standard,Completed,2.4,0.833,Yes,Yes,80.0,72.9,76.2,76.4,1
1660,Female,Group E,Associate's,Standard,Completed,9.2,0.994,Yes,No,100.0,97.6,91.7,96.4,1
1661,Male,Group C,High School,Standard,Not Completed,6.5,0.969,No,Yes,67.3,65.9,67.8,67.0,1
1662,Female,Group C,High School,Standard,Not Completed,4.7,0.899,No,Yes,73.0,75.1,65.0,71.0,1
1663,Male,Group A,Bachelor's,Free/Reduced,Not Completed,15.7,0.831,No,Yes,80.0,72.5,73.2,75.2,1
1664,Female,Group A,Associate's,Standard,Not Completed,2.5,0.839,Yes,No,61.3,62.9,56.6,60.3,1
1665,Male,Group C,Associate's,Standard,Not Completed,16.2,0.859,Yes,Yes,67.2,79.6,74.6,73.8,1
1666,Male,Group C,Bachelor's,Standard,Completed,5.7,0.757,Yes,Yes,69.6,78.9,72.6,73.7,1
1667,Female,Group D,Bachelor's,Standard,Not Completed,4.0,0.82,No,Yes,61.2,53.4,60.7,58.4,0
1668,Male,Group B,Bachelor's,Free/Reduced,Not Completed,4.8,0.781,Yes,Yes,71.9,69.4,61.0,67.4,1
1669,Female,Group A,High School,Free/Reduced,Completed,5.1,1.0,No,No,60.3,63.0,71.3,64.9,1
1670,Male,Group C,Bachelor's,Standard,Completed,17.4,0.949,No,No,80.0,85.1,87.5,84.2,1
1671,Female,Group B,Bachelor's,Free/Reduced,Not Completed,7.7,0.963,No,Yes,78.7,81.1,79.6,79.8,1
1672,Male,Group A,Some College,Standard,Completed,3.2,0.947,Yes,No,82.7,75.1,70.1,76.0,1
1673,Male,Group D,Associate's,Free/Reduced,Not Completed,9.9,0.913,Yes,Yes,61.1,75.7,67.1,68.0,1
1674,Male,Group A,Some College,Standard,Not Completed,5.2,1.0,No,Yes,65.0,75.5,72.6,71.0,1
1675,Male,Group C,Master's,Standard,Not Completed,0.8,0.851,No,Yes,75.9,71.4,78.0,75.1,1
1676,Female,Group B,High School,Standard,Not Completed,9.7,0.909,Yes,Yes,74.9,73.9,82.3,77.0,1
1677,Female,Group B,Associate's,Free/Reduced,Completed,9.9,0.96,No,Yes,86.7,83.8,85.3,85.3,1
1678,Female,Group C,High School,Free/Reduced,Not Completed,5.3,0.794,Yes,Yes,44.4,52.2,50.9,49.2,0
1679,Female,Group D,Bachelor's,Standard,Not Completed,4.4,1.0,No,No,81.3,90.0,79.7,83.7,1
1680,Male,Group C,High School,Standard,Not Completed,10.5,0.902,No,No,93.3,92.8,83.0,89.7,1
1681,Female,Group D,High School,Free/Reduced,Not Completed,4.2,0.911,No,No,44.8,53.1,54.7,50.9,0
1682,Male,Group A,Some College,Standard,Not Completed,11.8,1.0,No,Yes,77.3,70.6,73.6,73.8,1
1683,Male,Group D,Master's,Standard,Not Completed,4.3,0.973,No,Yes,72.0,70.5,71.0,71.2,1
1684,Male,Group B,High School,Standard,Completed,6.1,0.903,No,No,80.9,85.1,79.2,81.7,1
1685,Female,Group D,High School,Standard,Not Completed,8.2,0.91,No,Yes,63.7,65.3,67.8,65.6,1
1686,Male,Group C,Bachelor's,Free/Reduced,Not Completed,7.2,0.78,No,No,47.0,62.5,46.1,51.9,0
1687,Male,Group E,Associate's,Free/Reduced,Not Completed,4.1,0.855,Yes,Yes,60.3,65.8,64.5,63.5,1
1688,Female,Group C,Master's,Standard,Not Completed,7.9,0.941,No,No,86.3,95.7,77.3,86.4,1
1689,Male,Group A,High School,Standard,Not Completed,9.6,0.936,No,Yes,66.3,71.4,53.2,63.6,1
1690,Male,Group A,Associate's,Free/Reduced,Completed,3.3,0.998,Yes,Yes,88.1,77.3,80.7,82.0,1
1691,Female,Group D,High School,Standard,Completed,8.3,0.89,No,Yes,88.2,80.0,81.3,83.2,1
1692,Female,Group C,High School,Free/Reduced,Not Completed,6.0,0.789,No,No,48.1,55.2,52.5,51.9,0
1693,Female,Group D,Associate's,Standard,Not Completed,3.4,0.985,Yes,Yes,68.0,71.9,87.6,75.8,1
1694,Female,Group B,Associate's,Standard,Completed,7.7,1.0,Yes,No,87.6,94.3,95.0,92.3,1
1695,Female,Group B,Bachelor's,Free/Reduced,Not Completed,10.2,0.972,Yes,Yes,70.2,69.9,74.5,71.5,1
1696,Female,Group A,Some College,Free/Reduced,Not Completed,4.5,0.887,No,Yes,56.9,53.5,52.6,54.3,0
1697,Female,Group E,Some College,Standard,Not Completed,8.0,0.984,Yes,Yes,79.1,79.5,73.1,77.2,1
1698,Female,Group D,Some College,Free/Reduced,Completed,5.1,1.0,No,Yes,66.5,66.2,72.8,68.5,1
1699,Male,Group E,Master's,Standard,Not Completed,9.1,0.909,No,Yes,71.9,83.7,72.8,76.1,1
1700,Male,Group B,Some College,Standard,Completed,11.3,0.795,Yes,Yes,99.6,94.9,93.1,95.9,1
1701,Male,Group C,Some College,Free/Reduced,Completed,7.5,0.853,No,No,94.4,82.7,80.7,85.9,1
1702,Female,Group D,Some College,Free/Reduced,Not Completed,9.6,0.95,Yes,No,72.9,65.5,62.8,67.1,1
1703,Female,Group B,Associate's,Standard,Completed,10.5,0.772,No,No,59.9,75.5,69.7,68.4,1
1704,Female,Group D,Some College,Standard,Completed,4.5,0.914,No,No,71.1,70.4,70.1,70.5,1
1705,Female,Group E,Master's,Standard,Not Completed,5.1,0.93,Yes,Yes,93.0,94.2,85.1,90.8,1
1706,Female,Group E,Some College,Standard,Not Completed,8.1,1.0,No,Yes,86.1,86.3,85.4,85.9,1
1707,Male,Group D,Bachelor's,Standard,Not Completed,12.7,1.0,Yes,No,79.9,72.3,74.1,75.4,1
1708,Female,Group B,High School,Free/Reduced,Not Completed,2.9,0.969,Yes,Yes,69.5,78.1,68.9,72.2,1
1709,Male,Group B,Associate's,Standard,Not Completed,8.6,0.727,Yes,No,49.2,59.5,49.5,52.7,0
1710,Male,Group E,Master's,Free/Reduced,Not Completed,12.1,0.974,No,Yes,91.8,96.9,96.2,95.0,1
1711,Female,Group A,High School,Standard,Not Completed,5.8,0.956,No,Yes,67.8,72.3,65.2,68.4,1
1712,Female,Group D,Master's,Standard,Completed,6.4,0.92,Yes,Yes,85.8,84.8,71.8,80.8,1
1713,Male,Group D,Some College,Standard,Not Completed,6.4,0.762,Yes,Yes,57.3,55.9,59.3,57.5,0
1714,Female,Group C,Master's,Standard,Not Completed,6.1,0.838,No,No,70.2,70.7,74.6,71.8,1
1715,Female,Group E,Associate's,Standard,Not Completed,4.0,0.807,Yes,Yes,70.3,68.5,60.5,66.4,1
1716,Male,Group B,Some College,Free/Reduced,Not Completed,6.0,0.739,No,No,68.4,65.0,60.1,64.5,1
1717,Female,Group B,High School,Standard,Not Completed,4.1,0.9,Yes,No,55.9,54.4,59.1,56.5,0
1718,Male,Group A,Some College,Free/Reduced,Not Completed,9.2,0.836,No,Yes,68.1,75.8,87.3,77.1,1
1719,Male,Group C,High School,Standard,Not Completed,2.0,1.0,No,No,79.7,86.8,73.0,79.8,1
1720,Female,Group B,High School,Free/Reduced,Completed,10.3,0.886,No,Yes,73.8,71.2,58.9,68.0,1
1721,Female,Group B,High School,Standard,Completed,11.2,1.0,No,Yes,86.2,68.2,75.8,76.7,1
1722,Female,Group D,Some College,Free/Reduced,Not Completed,7.2,0.774,Yes,No,70.6,82.3,79.2,77.4,1
1723,Female,Group E,Bachelor's,Standard,Completed,15.6,0.858,No,Yes,91.7,98.7,91.8,94.1,1
1724,Female,Group B,High School,Free/Reduced,Completed,8.3,0.908,Yes,Yes,66.3,69.5,68.2,68.0,1
1725,Male,Group C,High School,Free/Reduced,Not Completed,7.7,0.827,No,Yes,73.2,60.1,52.9,62.1,1
1726,Female,Group E,Associate's,Standard,Completed,1.9,0.866,No,Yes,89.3,88.2,94.3,90.6,1
1727,Female,Group A,High School,Standard,Completed,11.6,0.883,No,No,73.1,75.0,81.2,76.4,1
1728,Male,Group A,High School,Standard,Not Completed,3.7,0.881,No,No,52.8,50.0,56.9,53.2,0
1729,Male,Group B,High School,Free/Reduced,Not Completed,3.4,1.0,No,No,61.2,58.0,53.8,57.7,0
1730,Male,Group C,Master's,Standard,Not Completed,7.4,0.93,No,Yes,87.2,76.2,81.4,81.6,1
1731,Female,Group B,Bachelor's,Standard,Not Completed,4.1,0.938,Yes,No,66.4,75.1,62.1,67.9,1
1732,Male,Group E,Some College,Standard,Completed,5.8,0.943,No,No,84.1,80.4,77.5,80.7,1
1733,Male,Group C,Associate's,Standard,Not Completed,12.1,0.949,No,Yes,69.2,73.4,68.7,70.4,1
1734,Female,Group C,Associate's,Free/Reduced,Completed,14.5,0.893,Yes,Yes,86.7,82.3,81.2,83.4,1
1735,Female,Group B,Associate's,Standard,Completed,4.5,0.874,No,Yes,84.8,72.3,78.5,78.5,1
1736,Male,Group C,Associate's,Standard,Not Completed,5.9,0.913,No,Yes,54.9,58.9,53.4,55.7,0
1737,Female,Group D,Associate's,Free/Reduced,Completed,20.0,0.993,No,Yes,99.7,98.3,90.5,96.2,1
1738,Female,Group D,Some College,Standard,Not Completed,14.5,0.99,No,Yes,66.5,71.4,67.8,68.6,1
1739,Female,Group D,High School,Free/Reduced,Not Completed,10.6,0.881,No,No,49.3,45.9,49.3,48.2,0
1740,Female,Group C,Some College,Standard,Not Completed,4.1,0.961,No,Yes,54.7,61.6,57.5,57.9,0
1741,Male,Group E,Bachelor's,Standard,Not Completed,4.6,0.884,Yes,No,83.1,75.5,66.5,75.0,1
1742,Male,Group D,Associate's,Standard,Not Completed,10.6,0.903,Yes,No,90.8,94.9,96.2,94.0,1
1743,Male,Group D,Bachelor's,Free/Reduced,Completed,1.7,0.862,No,Yes,60.1,68.8,71.1,66.7,1
